Day, CBG(from), id(from), CBG(to), id(to)
17, 060190066044, 1, 061070003013, 1
17, 190852905001, 1, 310550024003, 1
17, 060133551151, 1, 160010102252, 1
17, 450450028162, 1, 390170111112, 1
18, 410510103031, 1, 461030116005, 1
18, 410050229042, 1, 410050226061, 1
18, 060133310001, 1, 060014105001, 1
18, 410470102011, 1, 410470103031, 1
18, 060190066044, 1, 060590744031, 1
18, 190852905001, 1, 311530107011, 1
18, 450450028162, 1, 450450039043, 1
18, 120860039212, 1, 120860090381, 1
18, 310550065062, 1, 310550074343, 1
18, 061070031002, 1, 061070023031, 1
18, 490490015032, 1, 160659503022, 1
18, 120570141091, 1, 120570122064, 1
19, 120150207003, 1, 120150103011, 1
19, 490111268012, 1, 490351122022, 1
19, 420430246003, 1, 540790206054, 1
19, 060190066044, 1, 061070003016, 1
19, 061070012001, 1, 320030067001, 4
19, 060133551151, 1, 320030067001, 5
19, 120860039212, 1, 120860090381, 2
19, 490490015032, 1, 320079515002, 1
19, 160010102252, 1, 370670026042, 1
19, 160659503022, 1, 160659503012, 1
20, 320310035043, 1, 060590524221, 1
20, 061070012001, 1, 060670057013, 1
20, 160270218001, 1, 160270212003, 1
20, 061070024002, 1, 061070029041, 1
20, 120860039212, 1, 120110802001, 1
20, 490170003002, 1, 320030058442, 1
20, 061070031002, 1, 060190054072, 1
20, 211170638001, 1, 211170640004, 1
20, 120570141091, 1, 120570141191, 1
20, 530630009006, 1, 410510072021, 1
20, 310550024003, 1, 310550044001, 1
20, 461030116005, 1, 461030114002, 1
20, 311530107011, 1, 310550074652, 1
20, 450450039043, 1, 450450030091, 1
20, 120860090381, 1, 171919552003, 1
20, 120570122064, 1, 120570133122, 1
20, 120150103011, 1, 120150104041, 1
21, 061070012001, 1, 060190065022, 1
21, 490572016004, 1, 370370202004, 1
21, 410670334001, 1, 181039527003, 1
21, 211170638001, 1, 390610057024, 1
21, 060855037071, 1, 320030067001, 6
21, 120710012023, 1, 120710019062, 1
21, 420430224011, 1, 420970810003, 1
21, 061070003013, 1, 061070023034, 1
21, 490351122022, 1, 490451307021, 1
21, 540790206054, 1, 540790206013, 1
21, 370670026042, 1, 170438465183, 1
21, 461030114002, 1, 460930203012, 1
21, 171919552003, 1, 170259722001, 1
22, 120860039212, 1, 120860001341, 1
22, 060855037071, 1, 320030067001, 7
22, 490490015032, 1, 490490014024, 1
22, 410050226061, 1, 530670122222, 1
22, 410470103031, 1, 410470103032, 1
22, 311530107011, 1, 310550074321, 1
22, 120860090381, 1, 210279601004, 1
22, 120570122064, 1, 120570060004, 1
22, 490351122022, 1, 420730008002, 1
22, 540790206054, 1, 540790206012, 1
22, 320030067001, 5, 220150104002, 1
22, 320079515002, 1, 490451306002, 1
22, 370670026042, 1, 370590802001, 1
22, 060590524221, 1, 060375703031, 1
22, 060670057013, 1, 060670076021, 1
22, 120110802001, 1, 120860002024, 1
22, 320030058442, 1, 320030033201, 1
22, 211170640004, 1, 210819201003, 1
22, 171919552003, 1, 171919552002, 1
23, 420430224011, 1, 420750039022, 1
23, 450450039043, 1, 450450038023, 1
23, 310550074343, 1, 310550057001, 1
23, 120150103011, 1, 481210214082, 1
23, 540790206054, 1, 540790206037, 1
23, 320079515002, 1, 490111267002, 1
23, 060590524221, 1, 060590524233, 1
23, 061070029041, 1, 061070024001, 1
23, 211170640004, 1, 211170636034, 1
23, 120570141191, 1, 180973219002, 1
23, 310550044001, 1, 191290402021, 1
23, 450450030091, 1, 450450028162, 2
23, 181039527003, 1, 180571110071, 1
23, 390610057024, 1, 390170111282, 1
23, 170438465183, 1, 170318026093, 1
23, 460930203012, 1, 461030102004, 1
23, 170259722001, 1, 211779602005, 1
23, 120860001341, 1, 120110106061, 1
23, 530670122222, 1, 150070406032, 1
23, 310550074321, 1, 081170001005, 1
23, 171919552002, 1, 171635032113, 1
24, 060590744031, 1, 060710020351, 1
24, 310550074343, 1, 191290403021, 1
24, 490351122022, 1, 490351125021, 1
24, 540790206054, 1, 540790206054, 2
24, 370670026042, 1, 370670026043, 1
24, 310550074652, 1, 310550074665, 1
24, 420970810003, 1, 420430201002, 1
24, 170438465183, 1, 170999617013, 1
24, 460930203012, 1, 461030104001, 1
24, 170259722001, 1, 171018807003, 1
24, 420730008002, 1, 420730001002, 1
24, 490451306002, 1, 490572105081, 1
24, 420750039022, 1, 340270416031, 1
24, 191290402021, 1, 311090037043, 1
24, 450450028162, 2, 340258086001, 1
24, 170318026093, 1, 170318030121, 1
25, 120860090381, 2, 320030067001, 8
25, 060670057013, 1, 060670093261, 1
25, 120110802001, 1, 120860001131, 1
25, 310550044001, 1, 191731803002, 1
25, 461030114002, 1, 270530269071, 1
25, 450450030091, 1, 210670039133, 1
25, 120710019062, 1, 120710105023, 1
25, 061070023034, 1, 061070009002, 1
25, 320030067001, 7, 060373012064, 1
25, 410470103032, 1, 410470103053, 1
25, 420750039022, 1, 420430245031, 1
25, 310550057001, 1, 310550054002, 1
25, 211170636034, 1, 211170647002, 1
25, 191290402021, 1, 131530211074, 1
25, 120110106061, 1, 120111001031, 1
25, 150070406032, 1, 320310035043, 2
25, 191290403021, 1, 190039501002, 1
25, 370670026043, 1, 371899205001, 1
25, 170999617013, 1, 220710134003, 1
25, 171018807003, 1, 180839554003, 1
25, 170318030121, 1, 171118715003, 1
26, 120110802001, 1, 360595203004, 1
26, 450450030091, 1, 450450028121, 1
26, 181039527003, 1, 181590204006, 1
26, 061070023034, 1, 060190081001, 1
26, 460930203012, 1, 460819663021, 1
26, 490490014024, 1, 490111258071, 1
26, 210279601004, 1, 210930016004, 1
26, 220150104002, 1, 220150112006, 1
26, 210819201003, 1, 180290805001, 1
26, 171919552002, 1, 171179567002, 1
26, 420750039022, 1, 420770062042, 1
26, 061070024001, 1, 061070023035, 1
26, 490351125021, 1, 160659503021, 1
26, 370670026043, 1, 371970505021, 1
26, 170318030121, 1, 170318031001, 1
26, 120860001131, 1, 320030024032, 1
26, 060373012064, 1, 060371863012, 1
26, 131530211074, 1, 131530201091, 1
26, 220710134003, 1, 220710063001, 1
27, 490490014024, 1, 160659503021, 2
27, 120570060004, 1, 120810020133, 2
27, 420730008002, 1, 390998125004, 1
27, 490451306002, 1, 490111255022, 1
27, 320030033201, 1, 320030003012, 1
