day,cbg,susceptible,infectious,recovered
16,170898541001,1883,0,1
16,320299702001,1071,0,1
16,490572016004,797,1,0
16,60133551151,7980,1,0
16,450450028162,5164,1,0
16,120860039212,517,1,0
16,410670334001,992,1,0
16,490170003002,1362,1,0
16,60670085081,3042,1,0
16,310550065062,943,1,0
16,61070031002,2023,1,0
17,61070005013,2419,0,1
17,211170638001,552,1,0
17,390610099022,1954,0,1
17,490111264042,2236,0,1
17,60855037071,2932,1,0
17,60855120271,1690,0,1
17,121050131022,1354,0,1
17,121150001011,1888,0,1
17,170310621002,851,0,1
17,530330081002,1570,0,1
17,60133372005,1457,2,0
17,60133372005,1457,1,1
17,60670093072,2006,0,1
17,490490015032,1661,1,0
17,120710012023,1212,1,0
17,120570141091,5245,1,0
17,420430224011,2214,1,0
17,530630009006,2329,1,0
17,61070003013,1241,1,0
17,310550024003,792,1,0
17,160010102252,3325,1,0
17,390170111112,1652,1,0
18,61070044001,3466,0,1
18,60133381013,3545,0,1
18,490039603005,2738,0,1
18,120710503142,2224,0,1
18,120810003062,2904,0,1
18,120830010062,6035,0,1
18,530630018002,1405,0,1
18,60610220143,377,0,1
18,370970614061,2601,0,1
18,420293021012,4670,0,1
18,461030116005,3667,1,0
18,410510103031,2980,0,1
18,60855033212,2599,0,1
18,121050131011,5005,0,1
18,170310710001,2765,0,1
18,60014085002,1478,0,1
18,410050226061,5496,1,0
18,60014105001,2704,1,0
18,410470103031,2749,1,0
18,60590744031,3509,1,0
18,311530107011,1391,1,0
18,450450039043,2966,1,0
18,120860090381,8426,1,0
18,310550074343,1433,1,0
18,61070023031,1320,1,0
18,160659503022,8125,1,0
18,120570122064,1909,1,0
19,40136105002,1665,0,1
19,60610222002,140,0,2
19,390170010013,2216,0,1
19,320310031064,604,0,1
19,450450025062,1973,0,1
19,61070013023,2738,0,1
19,320030067001,433,1,2
19,410050229042,1940,0,1
19,170318300043,4964,0,1
19,60133310001,1154,0,1
19,120150103011,1546,1,0
19,490351122022,1438,1,0
19,540790206054,2985,1,0
19,61070003016,1245,1,0
19,320030067001,432,2,2
19,320030067001,431,3,2
19,120860090381,8425,2,0
