poi_cbg_source,poi_cbg_destination,src_prob,des_prob
510594151001,510139802001,0.008081688771147994,0.0
510594151002,510139802001,0.0025988833185224903,0.0
510594151003,510139802001,0.002481514394460187,0.0
510594152001,510139802001,0.0017773008500863686,0.0
510594152001,511079801001,2.6019419159834587e-05,0.0
510594152002,510139802001,0.0034875337435659004,0.0
510594152003,510139802001,0.003537834711020915,0.0
510594152004,510139802001,0.003504300732717271,0.0
510594153002,510139802001,0.004191747287939719,0.0
510594153003,510139802001,0.0022970775137905954,0.0
510594154011,510139802001,0.0031186599822271687,0.0
510594154012,510139802001,0.0018779027849968497,0.0
510594154013,510139802001,0.00321926191713765,0.0
510594154013,511079801001,0.0024718448201842148,0.0
510594154021,510139802001,0.002129407622273278,0.0
510594154022,510139802001,0.0012575241863816897,0.0
510594154023,510139802001,0.0013413591321403484,0.0
510594155001,510139802001,0.003906708472359646,0.0
510594155002,510139802001,0.002062339665665989,0.0
510594155003,510139802001,0.006539125769185782,0.0
510594155004,510139802001,0.002129407622273278,0.0
510594156001,510139802001,0.004862426854009894,0.0
510594156002,510139802001,0.009221844033467382,0.0
510594157001,510139802001,0.0026324172968261346,0.0
510594157002,510139802001,0.017269998826312184,0.0
510594157002,511079801001,0.0031266668690399613,0.0
510594158001,510139802001,0.008165523716906653,0.0
510594158002,510139802001,0.007830183933871566,0.0
510594158003,510139802001,0.00893680521788776,0.0
510594159001,510139802001,0.0006203785986147078,0.0
510594159002,510139802001,0.009138009087708723,0.0
510594160001,510139802001,0.004778591908251235,0.0
510594160002,510139802001,0.004476786103519339,0.0
510594160003,510139802001,0.0020958736439696335,0.0
510594161001,510139802001,0.0065558927583376034,0.0
510594161002,510139802001,0.0036719706242350405,0.0
510594162001,510139802001,0.003085126003923525,0.0
510594162002,510139802001,0.008148756727754832,0.0
510594162002,511079801001,0.0011578641526125593,0.0
510594163001,510139802001,0.0018108348283900127,0.0
510594163002,510139802001,0.001961737730755508,0.0
510594163002,511079801001,2.6019419159834587e-05,0.0
510594201001,511079801001,1.3009709579917294e-05,0.0
510594201002,510139802001,0.0037893395482973434,0.0
510594201002,511079801001,0.0007892557145147426,0.0
510594202011,510139802001,0.001961737730755508,0.0
510594202011,511079801001,0.001131844733452651,0.0
510594202012,510139802001,0.0034875337435659004,0.0
510594202013,510139802001,0.004963028788920374,0.0
510594202021,510139802001,0.004795358897403057,0.0
510594202031,510139802001,0.004091145353029239,0.0
510594203001,510139802001,0.003856407504904632,0.0
510594203002,510139802001,0.0023641454703978836,0.0
510594203002,511079801001,6.504854789958646e-05,0.0
510594203004,510139802001,0.005633708354991,0.0
510594203004,511079801001,0.0018777347493678998,0.0
510594204001,510139802001,0.003923475461511469,0.0
510594204002,510139802001,0.006589426736641248,0.0
510594205011,510139802001,0.0018108348283900127,0.0
510594205021,510139802001,0.001291058164685334,0.0
510594205022,510139802001,0.004527087070974807,0.0
510594205031,510139802001,0.0028671551449507404,0.0
510594205032,510139802001,0.004460019114367969,0.0
510594205033,510139802001,0.0031521939605303616,0.0
510594206001,510139802001,0.004242048255394734,0.0
510594206002,510139802001,0.007897251890478404,0.0
510594207001,510139802001,0.004141446320484253,0.0
510594207002,510139802001,0.0029677570798612215,0.0
510594207002,511079801001,0.0006938511775954325,0.0
510594208002,510139802001,0.00011736892406231596,0.0
510594208003,510139802001,0.0037055046025386844,0.0
510594208003,511079801001,0.00048569582431687346,0.0
510594210011,510139802001,0.006103184051240213,0.0
510594210011,511079801001,0.0019948221355873103,0.0
510594210021,510139802001,0.01232373702654273,0.0
510594210021,511079801001,0.0040200002601943376,0.0
510594210022,510139802001,0.004745057929947591,0.0
510594210022,511079801001,0.0016782525358093104,0.0
510594210023,510139802001,0.0021461746114251,0.0
510594210023,511079801001,0.002484854529763992,0.0
510594211011,510139802001,0.00108985429486392,0.0
510594211012,510139802001,0.003889941483207824,0.0
510594211012,511079801001,0.0011188350238728736,0.0
510594211013,510139802001,0.0029509900907093993,0.0
510594211021,510139802001,0.0026324172968261346,0.0
510594211021,511079801001,0.0011188350238728736,0.0
510594211022,510139802001,0.0037558055699936995,0.0
510594211022,511079801001,0.0011188350238728736,0.0
510594211032,510139802001,0.0036552036350832183,0.0
510594211032,511079801001,0.0008759871117140834,0.0
510594211034,510139802001,0.0030348250364680583,0.0
510594212001,510139802001,0.0037055046025386844,0.0
510594213001,510139802001,0.0037222715916905066,0.0
510594213002,510139802001,0.002062339665665989,0.0
510594214001,510139802001,0.006807397595614032,0.0
510594214001,511079801001,0.0016652428262291794,0.0
510594214002,510139802001,0.00040240773964222607,0.0
510594214003,510139802001,0.0022970775137905954,0.0
510594214004,510139802001,0.0015593299911135844,0.0
