poi_cbg_source,poi_cbg_destination,number_of_visitors,probability
510594151001,510594151001,71,0.010318267693649179
510594151001,510594151002,356,0.05173666618224095
510594151001,510594152001,120,0.017439325679407064
510594151001,510594152003,703,0.10216538293852638
510594151001,510594152004,1051,0.15273942740880686
510594151001,510594153001,64,0.009300973695683766
510594151001,510594153003,62,0.00901031826769365
510594151001,510594154013,12,0.0017439325679407063
510594151001,510594154021,9,0.0013079494259555296
510594151001,510594155001,9,0.0013079494259555296
510594151001,510594155002,9,0.0013079494259555296
510594151001,510594155003,39,0.005667780845807296
510594151001,510594155004,30,0.004359831419851766
510594151001,510594156002,15,0.002179915709925883
510594151001,510594158001,249,0.03618660078476966
510594151001,510594158002,6,0.0008719662839703532
510594151001,510594158003,3,0.0004359831419851766
510594151001,510594161001,6,0.0008719662839703532
510594151001,510594203004,9,0.0013079494259555296
510594151001,510594204002,15,0.002179915709925883
510594151001,510594205011,18,0.0026158988519110592
510594151001,510594205022,54,0.007847696555733178
510594151001,510594205031,39,0.005667780845807296
510594151001,510594205032,30,0.004359831419851766
510594151001,510594206001,117,0.017003342537421886
510594151001,510594208002,6,0.0008719662839703532
510594151001,510594210021,345,0.050138061328295305
510594151001,510594211034,60,0.008719662839703532
510594151001,510594214001,250,0.036331928498764716
510594151001,510594214004,3,0.0004359831419851766
510594151001,510594215001,61,0.00886499055369859
510594151001,510594215002,313,0.04548757448045342
510594151001,510594216003,15,0.002179915709925883
510594151001,510594218002,54,0.007847696555733178
510594151001,510594218003,3,0.0004359831419851766
510594151001,510594221024,3,0.0004359831419851766
510594151001,510594223011,9,0.0013079494259555296
510594151001,510594223021,48,0.006975730271762825
510594151001,510594224021,3,0.0004359831419851766
510594151001,510594224022,3,0.0004359831419851766
510594151001,510594306003,3,0.0004359831419851766
510594151001,510594306004,6,0.0008719662839703532
510594151001,510594316003,6,0.0008719662839703532
510594151001,510594402011,18,0.0026158988519110592
510594151001,510594408003,18,0.0026158988519110592
510594151001,510594519001,9,0.0013079494259555296
510594151001,510594525011,29,0.004214503705856707
510594151001,510594616021,57,0.008283679697718356
510594151001,510594617002,6,0.0008719662839703532
510594151001,510594703001,498,0.07237320156953932
510594151001,510594706002,3,0.0004359831419851766
510594151001,510594802022,1911,0.2777212614445575
510594151001,510594811031,12,0.0017439325679407063
